Title,Title_ES,Description,Date,StartTime,EndTime,Recurring,Location,Published
Bible Study,Estudio Bíblico,Weekly Bible study in English. Coffee included.,2026-07-15,7:00 PM,8:30 PM,TRUE,,TRUE
Estudio Bíblico,Estudio Bíblico,Estudio bíblico semanal en español. Café incluido.,2026-07-09,7:00 PM,,TRUE,,TRUE
